$80,3.80000e+00,3.80000e+00,8.24924e-02,8.24924e-02,3.80000e+00,3.80000e+00,8.24924e-02,8.24924e-02
$88,9.64160e-01,7.16780e-03,8.91768e-03,7.06780e-03,9.00293e-03,7.06870e-03,5.52255e-01,7.16167e-03
$86,3.96105e-01,3.96105e-01,1.29122e-01,1.29122e-01,1.01923e-01,1.01923e-01,3.86652e-01,3.86652e-01
$82,2.00010e-02,2.00010e-02,2.00078e-02,2.00078e-02,2.00395e-02,2.00395e-02,1.15370e+00,1.15370e+00
$83,5.04180e-03,5.04180e-03,4.06646e-01,4.06646e-01,5.00971e-03,5.00971e-03,5.12890e-03,5.12890e-03
$87,7.15054e-02,1.75770e-01,7.36796e-02,3.41918e-01,7.39382e-02,3.79282e-01,7.15726e-02,1.78643e-01
$84,2.10321e-01,2.10321e-01,2.04730e-01,2.04730e-01,8.76862e-01,8.76862e-01,2.14305e-01,2.14305e-01
$78,2.19952e+00,2.06262e-01,2.19952e+00,2.06262e-01,2.19952e+00,2.06262e-01,2.19952e+00,2.06262e-01
$79,5.88016e+00,5.88016e+00,5.88016e+00,5.88016e+00,2.54596e-01,2.54596e-01,2.54596e-01,2.54596e-01
b,1.30000e-03,1.30000e-03,4.40000e+00,4.40000e+00,1.30000e-03,1.30000e-03,4.40000e+00,4.40000e+00
$89,1.06674e-02,7.99049e-02,4.99973e-01,2.25243e-02,4.95618e-01,1.95286e-02,1.26210e-02,7.71113e-02
$81,2.49899e+00,2.49899e+00,7.06842e-02,7.06842e-02,7.29826e-02,7.29826e-02,7.02135e-02,7.02135e-02
c,8.20000e-03,8.20000e-03,8.20000e-03,8.20000e-03,2.50000e+00,2.50000e+00,2.50000e+00,2.50000e+00
a,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00
y,4.26697e-03,3.19620e-02,1.99989e-01,9.00971e-03,1.98247e-01,7.81145e-03,5.04840e-03,3.08445e-02
$85,1.02903e-01,1.02903e-01,1.21238e+00,1.21238e+00,1.19362e+00,1.19362e+00,1.41751e-01,1.41751e-01
