$80,true,true,false,false,true,true,false,false
$88,true,false,false,false,false,false,true,false
$86,true,true,false,false,false,false,true,true
$82,false,false,false,false,false,false,true,true
$83,false,false,true,true,false,false,false,false
$87,false,false,false,true,false,true,false,false
$84,false,false,false,false,true,true,false,false
$78,true,false,true,false,true,false,true,false
$79,true,true,true,true,false,false,false,false
b,false,false,true,true,false,false,true,true
$89,false,true,true,false,true,false,false,true
$81,true,true,false,false,false,false,false,false
c,false,false,false,false,true,true,true,true
a,false,true,false,true,false,true,false,true
y,false,true,true,false,true,false,false,true
$85,false,false,true,true,true,true,false,false
